Start Date,Event Category,Description,Event Type,Event Country,Event Province,Event Type V2,Headline,E Latitude,E Longitude
2/12/2022 12:00:00 AM,Government & Political,"In London, England province, United Kingdom, the Foreign, Commonwealth and Development Office instructed UK nationals to leave Ukraine by 14 February 2022, citing a heightened threat of Russian military incursions, United Kingdom Government reported. Source link : https://www.gov.uk/foreign-travel-advice/ukraine",State Action,United Kingdom,London,Statement,"Foreign, Commonwealth and Development Office instruct UK nationals to leave Ukraine in United Kingdom's London",51.50722,-0.12759
2/11/2022 12:00:00 AM,Government & Political,"In London, England province, United Kingdom, Prime Minister Alexander Boris de Pfeffel Johnson held talks with the leaders of Canada, the United States, Italy, France, Germany, the European Union, Romania, Poland and North Atlantic Treaty Organization (NATO) to discuss enhanced sanctions to counter Russian aggression towards Ukraine. The leaders agreed to step up diplomatic efforts in the event of escalation, United Kingdom Government reported. Source link : https://www.gov.uk/government/news/pm-virtual-meeting-on-ukraine-11-february-2022",State Action,United Kingdom,London,Statement,UK Prime Minister holds talks with international leaders to counter Russian aggression towards Ukraine,51.50722,-0.12759
2/13/2022 12:00:00 AM,Government & Political,"In Canberra, Australian Capital Territory, Australia, Minister for Foreign Affairs Marise Payne stated that Australia's embassy staff in Kyiv, Ukraine was directed to a temporary office in Lviv which is around 70kms from the border with Poland amid rising tensions at the Ukraine-Russia border, Reuters reported. Source link :",State Action,Australia,Australian Capital Territory,Statement,Australia evacuates its personnel from Ukraine,-35.3075,149.124417
2/13/2022 12:00:00 AM,Government & Political,"In Donetsk, Ukraine, staff of the Organisation for Security and Cooperation in Europe’s (OSCE’s) Special Monitoring Mission to Ukraine evacuated the city after United States and United Kingdom countries urged their citizens to leave amid fears of a possible Russian invasion. The OSCE staff was monitoring the situation in eastern Ukraine, Reuters reported. Source link :",State Action,Ukraine,Donetsk,Action,OSCE staff evacuate from Ukarine's Donetsk,48.015883,37.80285
2/24/2022 12:00:00 AM,Government & Political,"In Berlin, Germany, Group of Seven (G7) countries consisting of Canada, France, Germany, Italy, Japan, the United Kingdom, and the United States condemned Russia's invasion of Ukraine and stated that they would impose economic, and financial sanctions against Russia, US News reported. Source link :",,Germany,Berlin,Statement,G7 countries condemn Russia's invasion of Ukraine,52.5200066,13.404954
2/13/2022 12:00:00 AM,Government & Political,"In Nicosia, Cyprus, the Ministry of Foreign Affairs warned citizens to avoid travelling to Ukraine, urging those temporarily staying or permanently residing in the country to register their contacts with the embassy, Cyprus Mail reported. Source link : https://cyprus-mail.com/2022/02/13/cypriots-advised-to-leave-ukraine-due-to-escalation-risk/",State Action,Cyprus,Nicosia,Statement,Cypriot Ministry of Foreign Affairs warn citizens to avoid travelling to Ukraine,35.1855659,33.3822764
2/13/2022 12:00:00 AM,Government & Political,"In Warsaw, Mazowieckie region, Poland, Minister of Interior Mariusz Kamiński stated that the country began preparing for a potential inflow of refugees from Ukraine in the event of a Russian invasion, the First News reported. Source link : https://www.thefirstnews.com/article/poland-ready-for-influx-of-ukrainian-refugees-minister-says-27868",State Action,Poland,Mazowieckie,Statement,Poland's Minister of Interior announces to prepare for an inflow of Ukrainian refugees,52.2296756,21.0122287
2/11/2022 12:00:00 AM,Government & Political,"In Brussel, Belgium, the Council of the European Union approved the European Commission’s proposal to distribute EUR1.2 billion of macro-financial assistance to Ukraine, allowing to fast-track the final approval of the decision by the European Parliament, Consilium reported. Source link : https://www.consilium.europa.eu/en/press/press-releases/2022/02/11/council-supports-1-2-billion-assistance-to-ukraine/",State Action,Belgium,Brussel,Statement,European Council approves financial assistance for Ukraine,50.8425036,4.380813
2/14/2022 12:00:00 AM,Government & Political,"In Tallinn, Harju maakond, Estonia, Ministry of Foreign Affairs announced that the government approved USD350,000 to Ukraine to finance the provision of medical care and improvement of utility infrastructure for over three million residents living in the Donbass region, Ukraine Business News reported. Source link : https://ubn.news/estonia-allocates-351-000-in-assistance-to-residents-of-eastern-ukraine/",State Action,Estonia,Harju maakond,Statement,Estonia approves funds for humanitarian aid for Ukraine,59.4369608,24.7535746
2/14/2022 12:00:00 AM,Government & Political,"In Kyiv, Ukraine, the Kyiv District Administrative Court scheduled a hearing for 16 February 2022 to review a lawsuit lodged by former president Viktor Yanukovych seeking to overrule the parliament’s 2014 decision to remove him from power, 24 TV reported. Source link : https://24tv.ua/sud-rozglyadatime-pozov-yanukovicha-do-radi-16-golovni-novini_n1866879",State Action,Ukraine,Kyiv,Judicial,Court schedules hearing over removal of former president in Ukraine's Kyiv,50.45,30.523
